ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
4400.00,1094.00,2.13,98144.00,37743.73,135887.73,737.26,16.76
2100.00,1106.00,2.13,22355.59,26544.84,48900.42,442.27,21.06
1590.00,1121.00,2.13,12738.44,17282.67,30021.11,346.53,21.79
1740.00,1144.00,2.63,15325.20,25595.08,40920.29,404.58,23.25
1020.00,1174.00,2.53,4093.19,9504.34,13597.53,233.22,22.86
857.00,1176.00,2.13,2318.43,3947.46,6265.88,158.31,18.47
810.00,1200.00,2.23,1925.85,2656.67,4582.51,135.39,16.71
760.00,1210.00,2.23,1569.23,2084.84,3654.07,120.90,15.91
640.00,1221.00,2.23,947.06,1604.76,2551.83,101.03,15.79
605.00,1240.00,2.53,818.16,1947.18,2765.33,105.17,17.38
345.00,1269.00,2.13,254.05,441.95,696.00,52.76,15.29
282.00,1269.00,2.13,169.74,441.95,611.68,49.46,17.54
316.00,1276.00,2.13,213.14,380.06,593.20,48.71,15.41
282.00,1314.00,2.53,169.74,403.69,573.43,47.89,16.98
107.00,1353.00,2.03,24.44,66.52,90.96,19.07,17.83
175.00,1368.00,2.43,65.37,115.74,181.11,26.92,15.38
67.00,1419.00,2.13,9.58,25.02,34.60,11.76,17.56
80.00,1419.00,2.03,13.66,20.55,34.21,11.70,14.62
67.00,1419.00,1.93,9.58,17.06,26.65,10.32,15.41
62.00,1433.00,2.03,8.20,16.27,24.48,9.90,15.96
67.00,1442.00,2.03,9.58,14.05,23.63,9.72,14.51
75.00,1467.00,2.33,12.01,17.48,29.49,10.86,14.48
37.00,1506.00,2.13,3.13,6.36,9.49,6.16,16.65
54.00,1539.00,2.43,6.22,7.53,13.75,7.42,13.74
