ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
1255.00,1021.00,53.80,11417.13,13027.10,24444.24,312.69,24.92
1203.00,1041.00,47.60,10268.58,10592.70,20861.27,288.87,24.01
757.00,1082.00,46.90,2689.01,3264.48,5953.49,154.32,20.39
546.00,1085.00,51.00,1179.76,1976.99,3156.75,112.37,20.58
492.00,1116.00,49.50,951.54,960.08,1911.61,87.44,17.77
459.00,1117.00,46.20,828.17,1392.87,2221.04,94.26,20.54
346.00,1135.00,50.90,470.59,532.87,1003.46,63.35,18.31
117.00,1218.00,51.40,53.81,94.44,148.25,24.35,20.81
97.00,1232.00,57.50,36.99,60.83,97.81,19.78,20.39
61.00,1256.00,61.50,14.63,39.91,54.54,14.77,24.21
44.00,1305.00,60.70,7.70,18.41,26.11,10.22,23.23
